"Market_1","Market_2","Market_3","Market_4","Market_5","Market_6","Market_7","Market_8","Market_9","Market_10","Market_11","Market_12","Market_13","Market_14","Market_15","Market_16","Market_17","Market_18","Market_19","Market_20","Market_21","Market_22","Market_23","Market_24","Market_25","Market_26","Market_27","Market_28","Market_29","Market_30","Market_31","Market_32","Market_33","Market_34","Market_35","Market_36","Market_37","Market_38","Market_39","Market_40","Market_41","Market_42","Market_43","Market_44","Market_45","Market_46","Market_47","Market_48","Market_49","Market_50","Market_51","Market_52","Market_53","Market_54","Market_55","Market_56","Market_57","Market_58","Market_59","Market_60","Market_61","Market_62","Market_63","Market_64","Market_65","Market_66","Market_67","Market_68","Market_69","Market_70","Market_71","Market_72","Market_73","Market_74","Market_75","Market_76","Market_77","Market_78","Market_79","Market_80","Market_81","Market_82","Market_83","Market_84","Market_85","Total","YEAR_","MONTH_","DATE_"
"3750.1797916378027","11488.581108444765","11658.795442908431","4571.338134442039","2205.46375250687","5487.834373622358","6143.918612138486","2363.483430671518","5041.957905339967","6723.8862917614515","4233.348673517635","11842.068721570184","10200.971622173774","6619.8790829494","3233.9375448673277","3460.7716947760914","2406.2410012487603","11726.559796505388","12355.36795846422","19380.741252461856","6817.564001991023","3426.9348626994615","2647.259558758455","6946.73224527607","8734.697912024585","5954.032803424497","9256.11713026046","4790.753478573569","5882.018050930421","3834.2378862975634","7672.670149801101","3409.030877278224","5144.116891701583","4123.944101303568","2073.0150404252977","5779.847330147442","7314.139768420658","2957.0876719388407","4682.276894776091","10489.55903728152","11515.938879561945","12291.978132446526","15174.46410549865","16898.538945708708","2653.998520222835","4846.581340768405","5734.34797335119","2562.198988678953","6577.058032917643","11872.085589867593","5424.404968197775","2653.4011366833383","2663.0792579257873","2546.5509228807296","5078.544522119347","5295.393663405786","3976.420650401235","5294.968443582653","2794.1024221733624","2417.635654784488","5148.531614692333","4282.191635173031","3034.758648520174","2341.1238819151226","3614.569334252567","6295.299933914635","3819.260911017507","6434.509392559","6029.69337060865","5188.47218473642","5516.793788690566","1838.657600031887","7422.469903497598","11202.161973373066","7316.321881350741","8031.7585547269955","5500.697354968504","5580.794110608971","5860.8744730806975","3042.208010200112","9860.896324348945","14480.626177214948","7000.206109868397","5648.500591965532","6818.398466681105","536412.8302644934","1999","1","01 JAN 1999"
"3846.066273602286","11984.018648938852","12227.942408314313","4824.890057313729","2301.426550498818","5671.674405987111","6389.75767931784","2404.099037810412","5159.707716028605","6970.350933670589","4466.551782911997","12515.218018017886","10619.795995534223","7041.5330501946655","3408.8752480128323","3602.073253800826","2489.1686395645047","12198.722087643313","12984.497330938244","20330.9913770034","7149.655304654643","3478.962755571054","2740.145898152646","7265.322097881119","9131.464476318479","6143.870009804461","9493.655363114707","4950.790559355892","6206.434348745637","3952.8154489743247","7969.626727941747","3542.4225472228613","5399.8693597228885","4241.431335128791","2179.855373376067","6015.925268613728","7557.249511915792","3043.2645785140185","4887.208089449241","10994.47807736853","12053.851451761233","12931.31295278972","16063.392066512579","17771.18583507923","2731.186597891332","5043.528319283687","6049.392858204116","2651.7992961069467","6902.533866675109","12499.978762099123","5690.846821195281","2696.45941645419","2760.9111800325168","2599.8947381564453","5157.937041471379","5446.0807373968","4049.474556847121","5379.8077232761","2869.3607870992787","2478.820998806911","5422.017290589","4418.525733594276","3145.3047335482643","2384.7539737900247","3762.6671948918597","6540.499086655164","3916.535554411643","6651.23879776234","6210.415662231988","5447.457046363699","5729.8456951702665","1922.2287053511332","7727.255121964286","11862.941350264538","7584.860578148662","8331.492611551796","5741.037242993018","5684.779367912586","6075.013836670175","3069.078519883384","10431.792233160446","15162.22689241976","7271.916925280916","5750.185462076406","6943.441941150959","558797.0751919067","1999","2","01 FEB 1999"
"3894.4181649087723","12265.668765354683","12896.5075481719","5040.973564095173","2352.2006259692707","5802.188406139354","6669.7576843552815","2468.8036210067894","5232.018705901135","7338.07873996183","4718.295945782895","13257.680502767716","11002.263400983795","7386.4413163206245","3562.169231146886","3700.483203931713","2566.34060748688","12559.114317252617","13554.547402801836","21109.19038859022","7456.748394516118","3553.9264121067463","2899.773188478286","7711.7416010846555","9626.296176949592","6418.80607968951","9948.241608994858","5142.994282883896","6614.463473647167","4056.2906369260745","8265.081128148955","3659.066116115264","5724.308005201373","4348.633469155956","2238.2949199350137","6349.247209084552","7959.376997124728","3119.107951514557","5119.070427179358","11346.416084984949","12733.149089731478","13598.908516350595","17047.94673539285","18566.63386631703","2776.3411283364653","5231.949158771218","6270.945640288803","2775.26400460108","7277.207920213266","13041.124337188096","6060.506011355346","2780.8115045145564","2850.7391728852995","2697.4035925033168","5256.536559969395","5606.344813033397","4153.356341834942","5595.948073093246","2982.8288966092623","2583.817984972964","5657.1015940332145","4506.000057738986","3221.7142386124287","2446.825246507579","3930.057604689484","6851.069632006845","4068.7631322515927","6805.359622755189","6399.153346638038","5666.638608282448","5928.674329374973","1969.0260001554916","7952.368856017416","12435.57317346476","7785.195638966785","8649.396616798349","5876.734234069471","5958.317136021553","6207.43719439445","3138.725721486276","11141.036380886058","15961.20855132034","7667.776557297157","5900.555299135848","7129.984844612832","582077.4832721313","1999","3","01 MAR 1999"
"4009.801974177","12800.948325784007","13715.69453665256","5210.632897508913","2489.5134958355884","5899.444824998411","6929.257516798025","2573.599758483231","5403.422185038613","7741.644981680836","4905.421231996252","14088.57024298299","11230.178576423035","7672.087889491655","3714.2560695469956","3811.569056229539","2594.406711703556","12868.902183930184","14199.990843391339","21955.23946623767","7670.433488489077","3700.410188473465","3016.641446122567","7918.4558758506955","10010.399765455353","6777.390355983305","10257.341364647305","5339.959140571105","6884.724703484995","4197.531160228692","8480.865449808542","3785.760231903011","5917.572970644584","4494.499502944062","2300.693124086673","6479.547920644541","8416.830806286478","3276.3605279892117","5285.77490930416","11929.030355351442","13436.937649851241","14362.473628452357","17953.9311276718","19209.86303300641","2887.2672838131884","5468.340655568661","6486.42944845451","2854.405262307198","7657.946220025335","13578.123930832395","6383.378145728803","2841.748325483285","2968.9114647198703","2728.673945888288","5372.544122553653","5879.457785902073","4282.502123176184","5783.079389876522","3091.1897666966292","2720.0390837284267","5819.15058931302","4686.005660509441","3301.5850535333157","2597.4410395802242","4048.775403133208","7238.757826656169","4197.808018222337","6929.021903098268","6578.1427927969335","5880.010042650065","5996.143302264834","2061.6764078821793","8110.231967149097","13033.8818596439","8098.535672445179","9085.198583503498","6033.440753924653","6160.773234293508","6437.449658327142","3218.465457658572","11839.783548430418","16932.897438977277","7868.932196805099","5943.68118384444","7332.5481428987605","605332.386188438","1999","4","01 APR 1999"
"4146.703036022105","13290.949737475794","14646.74586290817","5383.489475697104","2534.3144526018204","6016.973845457152","7312.021798365739","2654.2717226811346","5543.3355021197285","8146.843838489551","5027.024759122612","15077.152585313368","11423.608270914528","7968.679269626777","3886.5806041596425","3975.9678930254613","2690.8707321758698","13017.13701054634","14996.014569207646","23092.85532757723","7953.8557900304","3789.752826800408","3127.3007567634395","8251.920150351172","10314.748682237816","7033.933256313232","10803.53680318045","5435.241640896412","7175.765150390809","4312.27880843343","8876.744650027356","3949.751565489938","6000.438131104271","4693.653088436141","2393.779774857874","6619.206102849983","8840.41827707292","3323.6246801107627","5465.1044859791145","12489.718102598876","14261.454003866118","15205.821998340272","19158.91012005332","20004.062182470345","3001.0068495320897","5618.941234424337","6612.503296898422","2944.3799364158135","8094.2726354028455","13897.861928878114","6675.559419423755","2934.68108672382","3085.6857358359275","2763.3276599277942","5550.556940900742","6138.68211422547","4445.240177814823","6049.131080899885","3128.5056974124363","2859.933708206156","6003.6068457105575","4860.0731771184755","3444.250717226947","2620.1162881886535","4177.560594305513","7526.144478905695","4316.206793606312","6964.148709639714","6885.591740268821","6163.93339187122","6128.145041417154","2160.7547165417805","8451.466502330628","13434.614686401115","8336.531195539135","9603.540863463106","6308.964762125965","6336.134635638032","6797.458808115956","3329.932007745014","12595.677343158854","17758.36846341595","8057.1871035985705","6008.612767894971","7637.3443668799155","630019.1968261732","1999","5","01 MAY 1999"
"4334.559128109134","13828.14323603232","15419.372988912415","5495.729505085457","2663.9048148020693","6137.370951384786","7492.860912952834","2698.560955461451","5773.46667520291","8376.618297937026","5185.667215464078","15817.199349071601","11554.61615273204","8407.641401638477","4090.24970018596","4177.509802961942","2727.9678822449655","13466.924494423354","15861.449321644173","24044.695627634403","8377.435317226647","3884.4280984073453","3252.089556765528","8557.319659811581","10718.875361275179","7323.732927659789","11171.785437536402","5589.9467365047185","7516.299420800295","4428.810040041053","9145.130653295586","4071.1728582888595","6246.954330307362","4910.325307365792","2451.704070004355","6788.612541956387","9279.724198684762","3471.5748210748434","5607.367111830432","13102.830757895626","15000.611762154973","15986.046068856642","20141.4097997712","20548.97508575132","3116.1583534395268","5800.279917342325","6803.507780256969","3002.8935795757425","8402.905156947085","14249.688333837854","7043.722646837788","2993.3946894368964","3218.8999260475566","2901.4304151150504","5713.043600411346","6319.439813389757","4589.124581222473","6244.410981810325","3167.1258829957283","2954.64500475482","6211.058257335934","5077.732845684119","3658.634945710425","2755.865498854735","4271.600528973581","7693.575801407988","4463.7675344847785","7148.344424270356","7180.200930268709","6431.478798195712","6293.981042555997","2262.8010738017715","8752.143591673066","14026.122205592113","8702.949417326281","10156.187936739101","6572.140170640067","6591.050603517764","7099.813383668189","3431.1147728783712","13464.40643188437","18266.475345238345","8427.57126446504","6176.535717668253","7929.931449005146","654693.8249724094","1999","6","01 JUN 1999"
"4554.119797075638","14273.262262945374","16107.797468995199","5746.52015210817","2737.9406838627733","6249.770282325739","7701.632070083121","2786.2088367457186","5904.3526909696875","8733.319730575173","5401.869630055306","16927.539668002337","11756.531592594605","8752.929113626295","4202.314933980077","4367.352868947452","2850.313503757344","13694.903843262891","16497.230378756405","25362.954263736334","8703.517722079807","3933.7810005163296","3305.1457735479967","8971.09503291818","10916.030421779218","7610.196352260724","11733.500437617342","5807.068977870317","7713.845299090322","4515.528413045534","9520.834736884663","4225.148496237012","6466.655485840838","5080.768692512357","2535.4980227681067","6944.630397364426","9649.857229640802","3531.743290346992","5822.859841085388","13909.965056010382","15662.066498672386","16827.880943431283","21107.042988544417","21264.68479576428","3209.2522050150515","5921.617986896947","6969.447720214574","3110.2903643777554","8643.79516301304","14500.767078268238","7384.804999196173","3085.6225753902854","3277.446005781857","2983.31558290866","5927.030275362829","6477.810519707605","4755.509293328525","6443.784692795462","3300.057259564549","3049.0126666950896","6483.473129590016","5318.410456837115","3751.994239057106","2793.6535139991","4361.251601993799","7881.169192037278","4610.7003193087385","7463.967693264162","7399.421048821921","6653.173380033641","6482.873413472794","2385.1996460823866","8972.040288304986","14416.299950664486","9180.294360992022","10484.513360239767","6805.8749407520945","6886.08359872712","7269.699754915795","3504.7915222950833","14260.210383037196","19058.463338090558","8587.055701613646","6313.399124442248","8144.915569032313","678876.7035943569","1999","7","01 JUL 1999"
"4744.25811513419","14664.356019760868","16958.175520076325","5884.548170140573","2753.582676202","6439.344135068168","7965.437230972073","2847.155455882685","6032.433558659705","9089.511914411125","5668.253545904763","17736.563043462906","11854.005419289682","9127.337556276845","4332.233254920684","4495.06270263171","2921.254873553237","14038.810372633663","17114.595229318867","26534.324866584244","9048.394258978873","4044.341499405893","3447.290928058414","9432.73520201129","11095.596810433275","7802.087666060191","12012.068240194678","5967.821455135643","7967.140532215501","4654.566012862762","9780.608115641466","4406.38297701008","6583.110945191305","5266.221078025229","2642.266086460712","7125.229544675313","10130.009561255683","3721.345457699563","6092.478425866011","14395.862337002822","16180.241208334974","17799.208154247237","22373.11826897588","21582.54189347421","3309.17140544992","6214.750554559927","7112.894314324913","3174.4395282171654","8895.26137757627","15027.966687890428","7749.380832556645","3204.288976387164","3365.320017562152","3115.472320789234","6153.325300033356","6738.485561690417","4864.950531488565","6684.738898355766","3400.2354332084924","3144.4532306413084","6801.619611074698","5466.627145793704","3907.2149035381235","2910.5414791053986","4404.207523187526","8115.34262895731","4813.962658351793","7820.748788855326","7681.603046840251","6930.53139213225","6733.743897291946","2455.4923627590083","9326.077674214996","14683.187820613728","9463.703783636263","10785.080006073564","6988.250272931593","7038.563776314537","7364.667612492469","3685.7079302504294","15270.571189281687","19881.377223828","8822.608984476694","6429.562671439425","8270.018476077943","702958.0581503514","1999","8","01 AUG 1999"
"4884.630434125471","15130.442301090541","17642.076840639405","6053.44514789218","2874.4006610396796","6701.417051605792","8107.397172752834","2966.768578652103","6149.657530062691","9534.434302313693","5935.355697195091","18954.906120932497","11996.444459895607","9538.747177957714","4435.988018258695","4555.640147121784","2962.462365498212","14188.250816578278","17751.99894613359","28012.50578411775","9203.60120093089","4172.681478397195","3532.9445492497102","9826.303225764646","11152.05022230294","8096.651447863544","12294.399955675455","6268.613269406373","8077.106741947036","4800.506605823693","9984.696082746348","4515.66117354264","6813.03129194015","5354.542388370957","2716.569560576635","7207.47072098491","10542.797365668568","3778.99170028439","6219.804632517902","15133.38207259832","16787.343243622527","18998.482059380418","23552.713583880846","22006.29000394444","3427.4683484458515","6334.596918776384","7251.422608118553","3299.364466192335","9157.13208404794","15514.14531500279","8114.471330014978","3313.9823517878845","3446.0360661114796","3245.581236578241","6247.1832728668305","7073.204652297157","4977.181807162464","6987.713925540091","3419.228844097215","3209.936910849411","7166.72918904656","5721.045418301555","3996.730452174613","3055.461278323723","4473.004135395641","8473.463446009213","5080.316827594806","8268.627233357778","8024.286437699842","7302.722211032133","7015.725451809532","2555.4237479174108","9749.747921684124","15066.441271199094","9847.587784310588","10965.302874741623","7039.772634406556","7200.07146636228","7455.570289846251","3785.8460342899093","15991.183156213825","20995.830478718563","8922.224202255791","6718.495005994111","8362.664453226316","727666.5276710859","1999","9","01 SEP 1999"
"5019.520502932275","15851.40230770913","18452.871679637807","6229.124375032312","2974.8634826877164","6957.0218642479085","8366.18826555472","3098.756745247244","6342.6309567665085","9999.307533536048","6125.288436408164","19932.44367618701","12377.799701556061","10069.644578489868","4505.538727361864","4687.149141690283","3075.1243408846067","14668.590570583241","18276.133143690127","28882.265540010438","9543.846626221357","4306.871156039358","3569.9699616609946","10072.178094196252","11265.598061387194","8310.260642852225","12753.483578273934","6459.651177772535","8415.407609458025","4979.785636221777","10162.950589044554","4636.376765447827","6945.0482097026","5552.860703314083","2830.686718903926","7340.892467662523","10989.760902209979","3914.9625286959804","6364.664836173712","15910.66273588765","17103.230069606765","20055.97593025663","24486.25277407254","22708.81453132341","3486.039336194402","6475.94678986277","7491.50901829288","3434.517166856935","9476.165472713765","15949.65023207212","8554.14891624992","3359.4146048481543","3555.0703737932517","3293.351664211562","6479.615739918135","7295.432629653852","5132.943378777708","7306.798158597843","3579.8228152313977","3278.6536269999738","7439.6564385588335","5936.734665183447","4061.6589222283283","3176.110554872527","4506.329474844426","8815.591685595144","5334.281122763991","8627.180934371227","8262.990902874899","7660.905440421151","7231.977464771484","2655.735297712451","10014.01378314008","15293.28572801313","10196.736334548992","11310.66960331946","7108.205245768506","7238.093395038077","7641.732179404044","3879.0542555257707","16821.871443312615","21851.287162982793","9178.170577587578","6908.245424430813","8595.50864698713","752466.9644851306","1999","10","01 OCT 1999"
